Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om psykologer m.v. (Udvidelse af antallet af medlemmer i Psykolognævnet);Folketinget;;;147;2020;AX026224;202014L01017;Retsinformation;;Fremgår af forskriften;20210422;20210424;20210424;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L01017
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om varsling af ferie m.v. som følge af den genindførte lønkompensationsordning i forbindelse med håndteringen af covid-19;Folketinget;;;146;2020;AX025718;202014L00640;Retsinformation;;Fremgår af forskriften;20210201;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00640
A;Lovforslag som vedtaget;Forslag til Lov om varsling af ferie m.v. som følge af den genindførte lønkompensationsordning i forbindelse med håndteringen af covid-19;Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/01061;146;2020;AX025729;202013L00146;Retsinformation;;Fremgår af forskriften;20210202;20210203;20210203;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00146
A;Lovforslag som fremsat;Forslag til Lov om varsling af ferie m.v. som følge af den genindførte lønkompensationsordning i forbindelse med håndteringen af covid-19;Beskæftigelsesministeriet;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/01061;146;2020;BE008762;202012L00146;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00146
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (26. januar 2021) - L 146;Beskæftigelsesministeriet;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/01061;L 146;2020;BE008761;20201XX00614;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00614
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om pligt til at sikre covid-19-test af tilrejsende arbejdskraft efter indrejse i Danmark;Folketinget;;;145;2020;AX025717;202014L00638;Retsinformation;;Fremgår af forskriften;20210201;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00638
A;Lovforslag som vedtaget;Forslag til Lov om pligt til at sikre covid-19-test af tilrejsende arbejdskraft efter indrejse i Danmark;Folketinget;;Beskæftigelsesmin., j.nr. 2020-10239;145;2020;AX025725;202013L00145;Retsinformation;;Fremgår af forskriften;20210202;20210203;20210203;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00145
A;Lovforslag som fremsat;Forslag til Lov om pligt til at sikre covid-19-test af tilrejsende arbejdskraft efter indrejse i Danmark;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-10239;145;2020;BE008759;202012L00145;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00145
A;Ændringsforslag til 3. behandling;Ændringsforslag til 3. behandling af Forslag til lov om pligt til at sikre covid-19-test af tilrejsende arbejdskraft efter indrejse i Danmark;Folketinget;;;145;2020;AX025719;202018L00642;Retsinformation;;Fremgår af forskriften;20210201;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202018L00642
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (26. januar 2021) - L 145;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-10239;L 145;2020;BE008760;20201XX00612;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00612
A;Lovforslag som vedtaget;Forslag til Lov om forebyggelse af smitte med covid-19, når arbejdsgivere stiller bolig til rådighed for ansatte;Folketinget;;Indenrigs- og Boligmin., j.nr. 2020-8389;144;2020;AX025730;202013L00144;Retsinformation;;Fremgår af forskriften;20210202;20210203;20210203;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00144
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om forebyggelse af smitte med covid-19, når arbejdsgivere stiller bolig til rådighed for ansatte;Folketinget;;;144;2020;AX025723;202014L00646;Retsinformation;;Fremgår af forskriften;20210201;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00646
A;Lovforslag som fremsat;Forslag til Lov om forebyggelse af smitte med covid-19 når arbejdsgivere stiller bolig til rådighed for ansatte;Indenrigs- og Boligministeriet;;Indenrigs- og Boligmin., j.nr. 2020-8389;144;2020;DE000001;202012L00144;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00144
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (26. januar 2021) - L 144;Indenrigs- og Boligministeriet;;Indenrigs- og boligmin., j.nr. 2020-8389;L 144;2020;DE000002;20201XX00610;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00610
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (28. januar 2021) - L 143;Finansministeriet;;;L 143;2020;AE002856;20201XX00626;Retsinformation;;Fremgår af forskriften;20210128;20210129;20210129;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00626
